(Cdad. Mtar.),(CAD. MTAR.)
caricaturizar,карикатуризировать
carichato,Carichateo.
carichina,Каричина.
caricia,ласка
cariciar,карици
caricioso,Осторожно
caricompuesto,Caricomposed
caricorto,карикорто.
caricuerdo,Карикор
caricáceas,Карикацеас
caridad,благотворительная деятельность
caridelantero,Caridelantero.
caridoliente,Каридолит
cariduro,CARIDURO.
carie,Кари.
carientismo,Carientismo.
caries,полости
cariexento,Cariexento
carifresco,Карифреско
carifruncido,карифрована
carigordo,каригорда
cariharto,Cariharto.
carihermoso,Карихермосо.
carijusto,Carijusto.
carilampiño,Carilampineo.
carilargo,Carilarizo.
carilavado,Карилавадо
carilimpio,Carilimpio
carilindo,карие
carilla,Карилла.
carilleno,карильо
carillo,цена
carillon,карильон
carillón,карильон
carilucio,Carilecio.
carimba,Carrimba.
carimbar,Каримбар.
carimbo,Каримбо
carincho,Кариньчо.
carinegro,Каринегро.
caringa,капля.
carininfo,CARININFO.
carino,Уважаемый
carioca,Кариока.
cariocinesis,Кариооцинес
cariofiláceas,Кариофилаце.
cariopside,Кариопсайда
carioso,Осторожно
cariota,кариоте
caripajero,Карипаджеро
caripecoso,Кариппекоз
caripálido,Карипалидо
carirraído,Carirraiddo
carirrechoncho,Carrechoncho.
carirredondo,Cariradondo.
carirromo,Carirromo.
carishina,Carishina
carisma,харизма
carismatico,карисмический
carita,карита
caritate,Каремитировать
caritativo,благотворительный
carite,Карита.
carites,Кариты.
caritieso,карито
caritriqueño,Каритрирование
cariucho,Cariucho.
cariz,Смотреть
cariátide,каратид
cariñar,заботливый
cariñena,Кариньена.
cariño,Уважаемый
cariñosa,любящий
cariñoso,любящий
carlanca,Carlanca.
carlancón,Carlancón.
carlanga,Карланга
carlear,Carrear.
carleta,кальта
carlina,Карлина.
carlinga,кабина
carlismo,Карлизм.
carlista,Carlista.
carlita,Карлита.
carlos,Чарльз
carlota,Карлота.
carmanola,Карманола
carmañola,Carmañola.
carme,Каприз
carmel,Carmel.
carmelita,Кармелит
carmelitano,Кармелитано.
carmen,Кармен
carmenador,Кармендор
carmenadura,Карментура.
carmenar,Карменар.
carmes,Материалы.
carmesi,малиновый цвет
carmesí,малиновый цвет
carmin,кармин
carminar,Карминар
carminativo,касминационный
carminoso,кармин
carmín,кармин
carmíneo,кармы
carnación,гвоздика
carnada,приманка
carnadura,Мебель
carnaje,бойня
carnal,плотна
carnalidad,Плоть
carnario,унция
carnauba,Карнауба
carnaval,карнавал
carnavalada,карнавал
carnavalear,карнавал
carnavalesco,карнавал
carnaza,Карназа.
carnazón,окрашивание
carne,мясо
carne blanca,белое мясо
carne magra,постное мясо
carne viva,Живое мясо
carneada,Осторожность
carnear,убой
carnecería,мясо
carnerada,карнерасья
carneraje,Карнаризм
carnerario,Карнар
carnereamiento,Carnereado.
carnerear,Карнана
carnerero,Carnerero.
carnero,баран
carneruno,карнера
carnes,мясо
carnestolendas,Шизерид
carnet,лицензия
carnicera,карнис
carnicero,мясник
carnicería,Мясная лавка
carnicol,карнический
carnificación,карнификация
carnificarse,скриничность
carnificina,Carnificit.
carniseco,карнисеко
carnitina,карнитин
carnivoro,плотоядный
carniza,карниза
carnización,окрашивание
carnosidad,плоть
carnoso,мясистый
carnotauro,Карнотавр
carnudo,Carnudo.
carnuz,карнуз
carnuza,Carnuza.
carné,мясо
carnícoles,Carnícoles
carnívoro,плотоядный
caro,дорого
caroca,Карока.
carocha,Кароча
carochar,Карокар.
carofileas,CarofiLeas
carola,Карола
carolo,Carolo.
carona,Карона.
caronchado,Карончадо
caroncho,CARONCHO.
caronchoso,Карончосо
caronería,караонер
caronjo,карбонне
caronte,карон
caroquero,CaroArthroe.
carosis,кароз
caroso,кашена
carota,карота.
caroteno,каротин
carotida,канота
carotina,каротин
carozo,CAROZO.
caroñoso,Caritudo.
carpa,большая палатка
carpancho,Carpancho.
carpanta,Carpanta.
carpatos,Карпатос.
carpazo,Carpazo.
carpe,граб
carpedal,карпел
carpelar,черен
carpelo,карпера
carpentear,Фарпентир
carpera,Woodwoman.
carpeta,файл
carpetazo,папка
carpetear,карпен
carpiano,Carpiano.
carpidor,карпир
carpincho,Carpincho.
carpintear,Карпин
carpintera,Плотник
carpinteril,овладенец
carpintero,плотник
carpintería,столярные изделия
carpir,карпир.
carpo,карп
carpología,Карпология
carpófago,карпофаг
carqueja,карьера
carquesa,карен
carquexia,Carquexia.
carquiento,Калифорнийский
carquis,Carhis
carquiñol,Carquiñol.
carraca,погремушка
carracas,погремушка
carracho,Каррачи.
carraco,Carracco
carracuca,Чарачкака.
carrada,усердие
carrafa,Органаграф.
carral,карлочный
carraleja,Carraleja.
carralero,Каралеро
carramanchones,Карманхозты
carramarro,Каррамарро
carrampla,Carrampla
carramplón,Carramplón
carranca,Carranca
carrancho,Carranho.
carranchoso,кастрирование
carrancla,Carrancla.
carranclo,Carranclo.
carranclón,Карранкан
carrancudo,Карранкудо
carrandanga,Carrandanga.
carranza,Carranza.
carranzudo,Каррансудо
carraos,Карраос
carraplana,Карраплана
carraplanear,карраплен
carrasca,CarrAsca.
carrascal,караскаль
carrasco,Carrasco.
carrascoso,Карраскосо
carraspada,Каррапада
carraspante,Carraspante.
carraspear,ястреб
carraspeo,Carraspeo.
carraspera,охриплость
carraspeño,Каррасеньо
carraspina,Карраспино
carrasposo,Каррапосо
carrasquear,Каррастелл
carrasquera,Carrasquera.
carrasqueño,караска
carrasquilla,Carrasquilla.
carraza,Carreza.
carrazo,Каразо.
carrazón,Carrazón.
carraña,Carraña.
carrañoso,Фарформация
carrañón,Каприз
carraón,Carraon
carrear,Карьера
carrejar,Canora.
carrejo,Carrejo.
carrendera,Карредера
carrendilla,Carrendilla.
carrera,гонка
carrera de baquetas,Baquetas Race.
carreras,карьера
carrerear,автомобиль
carrerero,карран
carrerilla,бежать
carrerista,карьерист
carrero,Carrero
carreta,корзина
carretada,карта нагрузки
carretaje,царапать
carretal,картель
carrete,катушка
carreteador,катушка
carretear,такси
carretel,картель
carretela,катушка
carretelero,Ретеры
carreteo,прокручивать
carretera,шоссе
carreteril,Carreteril
carretero,картер
carretería,CarretRitya
carretil,картель
carretilla,тачка
carretillada,корзина
carretillero,грузовая машина
carretonada,мультфильм
carretonaje,Смятение
carretoncillo,картон
carretonero,картон
carretón,тележка
carreña,Carreña.
carricar,карнар
carricoche,Каррикош
carricuba,Каррезуба.
carriego,ношение
carriel,карьера
carril,переулок
carrilada,переулок
carrilano,Переулок
carrilearse,Перенаправлять
carrilera,переулок
carrilero,переулок
carrillada,Карриллада
carrillera,Каррилера
carrillo,щек
carrillos,CarrilloS.
carrilludo,Carrilludo
carrindanga,перевозка
carriol,кариол.
carrito,тележка
carrizal,нарисовать
carrizo,тростник
carro,автомобиль
carrocero,боди-строитель
carrocería,кузов
carroceta,Тело
carrocha,Карло
carrochar,Carrobar.
carrocín,карранс
carrol,Каруль
carromata,Carromata
carromatero,Carromatero.
carromato,караван
carrona,карауль
carros,легковые автомобили
carroso,карозич
carroza,плавать
carrozal,Каррозал.
carrozar,перевозка
carroña,карауль
carroñar,царапать
carroño,перевозка
carroñoso,Перевозка.
carruaje,перевозка
carruajero,Carruajero
carruajería,перевозка
carruata,перевозка
carrucar,Каруч.
carrucha,Carrucha.
carruchera,Каррушера
carrucho,Carrido.
carrujado,перевозка
carrujo,Carirjo.
carrumia,карубия
carrusel,карусель
carrusiana,Каррили
carrón,коричневый
carsela,Карьера
carstico,Карстико.
carta,письмо
carta abierta,Открой письмо
carta blanca,Белая карточка
carta de creencia,Вероваемое письмо
carta desaforada,Несчастное письмо
carta orden,Буквальный заказ
cartabon,Картабон.
cartabón,Cartaboon
cartagenera,Картагенера.
cartagenero,Картахенеро.
cartaginense,Cartaginense.
cartaginés,Карфагенский
cartaginésa,Carthaginian
cartapacio,щедро
cartas,письма
cartazo,Картазо.
carteadera,Картерадера
carteado,карт
cartear,карета
cartearse,соответствовать
cartel,знак
cartela,Cartela.
cartelear,карьера
cartelera,рекламный щит
cartelero,плакат
carteo,Carteo.
cartera,кошелек
carterista,карманник
cartero,почтальон
cartería,Сарай
cartesianismo,Картесианизм.
cartesiano,Картезианский
cartilaginoso,хрящевой
cartilago,хрящ
cartilagíneo,хрящ
cartilla,грунтовка
cartilágine,CARTILAGINE.
cartivana,Cartivana.
cartografiar,сопоставление
cartografía,сопоставление
cartograma,Картограмма
cartográfico,картографический
cartomancia,карточность
cartomancía,карточность
cartometría,Картиометрия
cartomántica,Carteromantica
cartométrico,картеметрический
cartonaje,картон
cartonear,мультфильм
cartonera,Картина
cartonero,Cartonero.
cartonería,Картонерия
cartuchera,сумка
cartuchería,картридж
cartucho,картридж
cartuja,Cartuja.
cartujano,Cartujano.
cartujo,картезианский
cartulario,мультикулярный
cartulina,картон
cartusana,CACKUSIANA.
cartílago,хрящ
cartógrafo,картограф
cartómetro,Картометр
cartón,картон
caruata,Caruata
caruncula,карункул
carunculado,карикул
carunculoso,осторожный
carura,Carra.
carurú,Carurú.
carvajal,Carvajal.
carvajo,Carvae.
carvallar,Carvallar.
carvalleda,Карвальеда
carvalledo,Карваледо
carvallo,Carvallo.
carvayo,Carvayo.
carábidos,Карбибит
carácter,символ
carácul,автомобиль;
carámbano,сосулька
carángano,Carángano.
carántula,манжера
caráota,Чаота.
carátula,каратус
caríbal,Карибда
carón,карон
carótida,канота
carótido,канота
carúncula,карункул
cas,пострадавший
casa,Дом
casa abierta,открытый дом
casa cuna,Деревенский дом
casa de locos,сумасшедший дом
casa de té,чайхас
casa del rey,Casa del Rey.
casa fuerte,сильный дом
casa real,настоящий дом
casabe,кабебелин
casabillo,Касабильо.
casaca,Касака
casación,кассация
casada,женатый
casadero,брачный
casadilla,брак
casado,женатый
casal,Казало.
casamata,каземат
casamentar,Касаментар
casamentera,Четко
casamentero,сопоставитель
casamiento,брак
casampulga,Касампулга
casamuro,Casasamuro.
casandra,Касандра.
casanga,казангент
casanova,Касанова.
casapuerta,Казапурта
casaquilla,Casaquilla
casaquinta,Пятый дом
casar,выходит замуж
casarca,Casarca.
casariego,Казариего.
casarse,женись
casatienda,Казатиенда
casañero,Общежитие.
casca,лай
cascabancos,Cascabancos.
cascabel,колокольчик
cascabela,Каскабела
cascabelada,пилинг
cascabelear,потрясение
cascabeleo,джингл
cascabelero,перозерный
cascabelillo,Cascabelillo.
cascabillo,шелуха
cascaciruelas,Каскастакакачи
cascada,водопад
cascadero,Каладеро.
cascado,взломанный
cascadura,Каскадер.
cascajal,Cascajal.
cascajar,бочка
cascaje,Касхаж
cascajento,Каскадженто
cascajera,Каскафи.
cascajero,Каскармармер
cascajo,гравий
cascajoso,кассета
cascalbo,каскалбо.
cascamajar,Каскамаджар
cascambruca,каскамбрука.
cascanueces,Щелкунчик
cascapiedras,Каскапидлерс.
cascapiñones,Capiñones.
cascar,трескаться
cascar a uno la badana,розыгрыш
cascara,чистить
cascarada,каскард
cascarazo,ракушка
cascaraña,Каскаранья.
cascarañado,Каскарада.
cascarear,каскар
cascarela,каскарла.
cascarete,Cascarrette.
cascarilla,Каскарилла
cascarillal,Каскарильял.
cascarillero,Каскарильеро
cascarillo,Каскарильо
cascarita,Каскарита.
cascarle,Каскарле.
cascarle a uno las nueces,Касар с орехами
cascarle las liendras,Касар с лианцами.
cascarle las liendres,Casar Las Nits.
cascarrabias,Curmudeon.
cascarrañado,Cascarrada.
cascarrañoso,Каскара девушка.
cascarria,Каскаррия
cascarriento,Cascarriento.
cascarrina,Каскарна
cascarrinar,Cascarrinar
cascarrón,Cascarrón.
cascarse,трескаться
cascarudo,Каскарудо.
cascaruja,Каскаруя.
cascaruleta,каскаруллета
cascarullo,Каскарулло
cascarón,Касарон
cascañetazo,Cascañetazo.
casco,шлем
cascos,шлемы
cascote,каскот.
cascudo,Cascudo.
cascundear,Каскондар
caseación,Казезация
caseico,Caseico.
caseificación,кейс
caseificar,казеотиф
caseina,казеин
caseoso,сырный
casera,домодельный
caseramente,Модно
caserillo,Касторильо.
caserita,казерит
caserna,Caserna.
casero,дом
casería,Брак
caserío,Гамлет
caserón,Казерон
caseta,стоять
casete,кассета
caseto,Caseleto.
casetón,кассеты
caseína,казеин
casi,почти
casia,кассия
casicontrato,казейконтрат
casida,насыщенные
casilicio,Casilicio.
casilla,коробка
casillas,Кашиллас
casillero,шкафчик
casillo,Casillo.
casimba,Казимба
casimir,казимир
casimira,казимира
casimiro,Casimiro.
casimpulga,Касимпулга
casineta,казнина
casinete,казнина
casino,казино
casiopea,Casiopea.
casis,Казес
casita,коттедж
casiterides,Казиториды
casiterita,казитерит
caso,кейс
caso de conciencia,точка совесть
casoar,Центар.
casolero,Касолеро
casona,Касона
casorio,свадьба
caspa,перхоть
caspera,Caspera.
caspia,Каспита
caspicias,Caspices.
caspiento,корпус
caspiroleta,Каспиролета
casposo,посадка
casquero,охота
casquería,Каскаты.
casquetada,Каскетада
casquetazo,Каскаразо
casquete,Skullcap.
casquijo,Casquijo.
casquillo,Крышка
casquilucio,бочка
casquina,тренер
casquinear,Кратко
casquite,Casquite.
casquivano,БЕСПЛАТНО
casquín,Casquín.
casta,порода
castado,кассета
castalio,Castalio
castamente,Кастально
castana,каштан
castaña,каштан
castañal,Castañal.
castañar,каштан
castañazo,Castañazo.
castañear,Chestañear.
castañeda,Castañeda.
castañedo,Castañedo.
castañera,каштан
castañero,Castañero.
castañeta,каштан
castañetada,Castañetada.
castañetazo,щелчок
castañete,Chestañete.
castañeteado,болтовня
castañetear,болтовня
castañeteo,болтовня
castaño,Коричневый
castañuela,Кастанет
castañuelo,Кастануэло
castellana,испанский
castellanismo,Castellanismo.
castellanizar,Кастелланизар
castellano,Кастильс
castellar,Кастеллар.
casticidad,Кастоцитить
casticismo,Кастика
casticista,Камер
castidad,нашатание
castigación,наказание
castigador,каратель
castigamento,Castigagento.
castigamiento,наказание
castigar,наказывать
castigarse,наказывать
castigo,наказание
castilla,Кастил
castillado,Кастилья
castillejo,Кастильхо
castillero,Кастилеро
castillete,Кастильте
castillo,замок
casting,Кастинг
castizar,затвердевать
castizo,Кастинг
casto,пошаговать
castor,бобра
castora,кастор
castorcillo,Касторцильо.
castoreño,Кастозер.
castorina,касторина
castra,каша
castración,кастрация
castradera,Кастропер
castrado,кастрируемый
castrador,кастор
castradura,кастрация
castrametación,кастраметация
castrar,кастрировать
castrarse,кастрировать
castrazón,Кастразон.
castrense,кастрический
castro,Кастро.
castrón,кастрон
castuzo,Castuzo.
castálidas,Касталидас
castóreo,касторем
castóridos,Кастроид
casual,повседневная
casualidad,шанс
casualizar,повреждать
casualmente,небрежно
casuar,казарар.
casuarina,Казуарина.
casuario,кассовой
casuista,казуист
casulla,преследовать
casullero,Casulleto.
casuárida,Casuaraida
casuística,казуистика
casuístico,казуистический
cata,дегустация
catabejas,Catabeas
catabolismo,Катаболизм.
catabre,Катабель
catabro,катабро
catabrón,Катангер
catacaldos,Катакальдос
cataclismo,Катаклизм
catacresis,Катакрез
catacumbas,Катакумбас
catadioptrico,катадиоптрич
catador,оздоровительный
catadura,дегустация
catafalco,катафалк
catafilo,Catafilo.
cataforesis,Катафорез
catalan,Каталон
catalanismo,Каталонизм.
catalanista,Каталина.
catalanizar,Катанонизировать
catalectico,катализатор
catalejo,Spyglass.
catalepsia,Каталепсия
catalina,Кэтрин
catalisis,каталис
catalitico,каталитический
catalizador,катализатор
catalizar,катализатор
catalnica,Каталница
catalogación,каталогизация
catalogar,каталог
catalogo,Каталог
catalufa,Каталония
catalán,Каталон
catalána,Катайё.
catalíquidos,Каталивы
catalítico,каталитический
catamaran,катамаран
catamarán,катамаран
catamarón,Catamarón.
catana,Катана.
catanga,Catanga.
catango,Catango.
catapasmo,Катапазмо.
catapila,Катапила
cataplasma,припал
cataplum,Катапума.
catapulta,катапульта
catapultar,Катапульт
catar,вкус
catara,Катара.
catarata,водопад
cataratas,водопады
cataraña,Катаранья.
catarinas,Леди Баги
catarral,Catarrahal.
catarrear,Катар
catarriento,Catarrireto.
catarrino,Катарит
catarro,холодный
catarroso,Catarroso.
catarsis,катарсис
catasalsas,Катасалсас
catasta,Casta.
catastral,кадастрал
catastro,кадастр
catastrofe,катастрофа
catastrofismo,Катастрофизм
catastrófico,катастрофический
catatar,Кататар.
catatimia,Кататимия
catatonia,Кататония.
catatonizar,кататонизация
catatonía,кататония
catatán,Кататий
cataté,Катате.
cataure,Cataure.
catauro,Катавра
cataviento,Катавиньто
catavino,Катавино.
catavinos,Катавинос.
cate,оказывать
cateada,Cateada
cateador,проспект
catear,проспект
catecismo,катехизм
catecumeno,катехумен
catecúmeno,катехумен
catedra,стул
catedral,кафедральный собор
catedralicio,кафедральный собор
catedrar,кафедральный собор
catedrática,Профессор
catedrático,профессор
categoria,категория
categorico,категорический
categorismo,категория
categorizar,классифицировать
categoría,категория
categórico,категорический
catenaria,Капельница
catenoide,Катеноид.
catenular,капенула
catequesis,катехизис
catequismo,катехизис
catequista,катехизатор
catequizar,катехизироваться
catequístico,катехистика
cateresis,кеэзера
catering,общественное питание
caterva,Caterva
catete,Catech
catetear,каттерат
cateter,катетер
cateterismo,катетеризация
cateterización,катетеризация
cateterizar,каттеризировать
cateto,Catecho.
catey,Catey.
catgut,кетгут
catibo,CASTIBO.
catibía,CATIBíA
catifa,каши
catilinaria,Кашильно
catimarón,Катимарон.
catimbado,Катимор
catimbao,Катимбао.
catinga,Catsata.
catingo,CateSo.
catingoso,Катирующе
catingudo,Cattingudo.
catino,Катино.
catira,Catira.
catire,Катир.
catiro,Catiro.
catirrucio,CATIRUCIO
catite,CATITE.
catitear,Cattear.
cativar,Катива.
cativo,катиф
catizumba,Катизумба
catión,катион
catleya,Catleya.
catocatártico,католический
catoche,Каточе
catodo,катод
catodonte,Catodonte.
catolicidad,Католичность
catolicismo,католицизм
catolico,Католический
catolicón,Католикон
catolizar,Catolizar.
catolizarse,Католитизировать
catonizar,Катонизар.
catoptrico,Катоптрический
catorce,14
catorcena,категория
catorceno,Catorcene.
catorrazo,Catorrazo.
catorro,перевозка
catortosis,Картторз
catorzavo,Catorzavian
catotérico,Катотерация
catracho,Catracho.
catre,кроватка
catrecillo,Catrecillo
catrera,Catrera.
catricofre,Catricofre
catrina,Catrina.
catrinear,Каша
catrinería,Катризия
catrintre,Catrintre.
catrintro,Catrintro.
catrivoliado,Catrivoli.
catrín,Catrin.
catuche,катушка
catufo,Catufo.
catuán,Catuán.
catábulo,Catábulo.
catádromo,Catádroomo.
catálisis,каталис
catálogo,Каталог
catán,Catán.
catártico,катартик
catástasis,Катасты
catástrofe,катастрофа
catéter,катетер
catín,Катин
catódico,катод
católicamente,Католично
católico,Католический
catón,CATON.
cauca,Cauca
caucarse,кавром
caucasiano,Кавказский
caucasico,Кавказский
caucaso,Кавказ
cauce,канал
caucel,кавер
cauchal,резиновая плантация
cauchar,RUBA.
cauchau,Cauchau.
cauchera,какура
cauchero,резиновый флакон
caucho,Резинка
cauchuco,Cauchacuco.
cauchutar,Cauchanger.
caucionar,залог
caucionero,Кауцининг
caución,осторожность
caucáseo,Кавказ
caucásico,Кавказский
cauda,кауда.
caudado,что бы ни
caudal,поток
caudaloso,обильный
caudatrémula,хвост
caudiforme,хвостообразный
caudillaje,лидерство
caudillismo,воинворчество
caudillo,лидер
caula,каула
caulista,Каулиста
caulocárpeo,Caulocárpendo.
caulícola,Caulícola.
caulífero,Капусты
cauri,Кариоз
cauro,Карус
causa,причина
causación,причинность
causador,причина
causal,причина
causalidad,причинность
causar,причина
causativo,причина
causear,вызвать
causeo,Основа.
causis,причина
causista,основа
causticación,причина
causticar,воздействовать
causticidad,каустичность
caustico,каустик
causídica,вызывать
causídico,вызывающий
causón,разумный
cautamente,осторожно
cautela,осторожность
cautelar,осторожный
cautelarse,осторожно
cauteloso,осторожный
cauterio,осторожный
cauterización,прижигание
cauterizador,осторожный
cauterizar,прижечь
cautil,Caustil.
cautin,Caustin.
cautivador,пленящий
cautivar,пленять
cautiverio,плен
cautividad,плен
cautivo,пленник
cauto,осторожный
cautín,Cautín.
cava,копать
cavache,Кавалина
cavacote,Кавакот.
cavada,Кавада.
cavadera,кавадора
cavadizo,старый
cavado,вытаскивать
cavador,копатель
cavadura,Каста.
cavalillo,кавалильо.
cavan,Кавана
cavar,копать землю
cavatina,каватин
cavazón,карона
cavea,кавеа
caverna,каверна
cavernario,Кавернарио
cavernidad,Пещерство
cavernosidad,кавенноз
cavernoso,кавенноз
cavernícola,пещерный человек
caveto,кавето
cavia,Cavia.
cavial,кавиал.
caviar,икра
cavicornio,Кавикорр
cavidad,полость
cavido,Кавидо.
cavilación,кавилирование
cavilar,каверлар
cavilosear,Кавилосар
cavilosería,CaviLosería.
cavilosidad,Кассосососососистость
caviloso,CaviLoso.
cavitación,кавитация
cavitar,кавища
cavo,кава.
caví,кавы.
cavío,Cavío.
cay,Cay.
cayabo,Cayabo.
cayada,Каяда.
cayadilla,Cayadilla.
cayado,мошенничество
cayajabo,Cayajabo.
cayana,Каяна.
cayanco,Каянко.
cayapa,Каяпа
cayapas,Каяпас
cayapear,Кайapear.
caycobé,Caycobé.
cayena,Cayennea.
cayeput,Кайпет.
cayeputi,Cayeputi.
cayerío,Cayerío.
cayetana,Кайтана.
cayo,упал
cayote,Cayote.
cayuca,Каюка.
cayuco,Cayuco.
caz,легковые автомобили
caza,охота
cazabe,охота
cazaclavos,Казаклавос
cazadero,шланг
cazador,Охотник
cazadora,охотничьи
cazamoscas,Мухоловка
cazar,охота
cazarrica,Cazarrica
cazasubmarinos,Казасубмарино.
cazata,Казата
cazatorpedero,Camatorpedero.
cazcalear,стержень
cazcarria,Cazcarria.
cazcarriento,Cazcariento.
cazcorvo,Cazcorvo.
cazo,кастрюля
cazolada,тросточка
cazoleja,казоледжа.
cazolero,Казолеро
cazoleta,чаша
cazoletear,Денежные средства
cazoletero,Cubletero
cazon,собака
cazonal,Казунальный
cazonera,Казонера.
cazonete,переключать
cazudo,пассажир
cazuela,запеканка
cazueleja,Cazuleja.
cazuelero,Гусеничный трактор
cazumbrar,Казумбар.
cazumbre,пострадавший
cazumbrón,Cazumbrón.
cazur,Казур
cazurrería,Cazurrería
cazurro,Казурро
cazurría,Cazurría.
cazuz,Борзовый
cazuzo,Cizuzo.
cazuñar,стержень
cazón,собака
caá,Caha
caçar,Caçar.
caérsele,Забота
caérsele a uno el alma a los pies,быть душой к ногам
caérsele a uno la baba,мечтатель
caérsele la venda de los ojos,Дайте себе повязку
caíble,дикий
caída,уронить
caído,палец
caído del cielo,упал с неба
caíto,ЛОЖЬ
caña,тросточка
cañacoro,Cañacoro.
cañada,Канада
cañadilla,легилла
cañado,Caña.
cañadulzal,Каньядулзал
cañaduz,Каньядуз.
cañaduzal,Каньядузал.
cañahuatal,Каньяхуатал
cañahuate,Cañahuge.
cañahueca,Cañahueca.
cañal,канал
cañaliega,Каньялиега.
cañamal,Каньямаль.
cañamar,конопля
cañamazo,холст
cañamelar,Каньямелар.
cañamero,Каньямеро.
cañameño,Cañameño.
cañamiel,Каньямиэль.
cañamiza,Каньямиза.
cañamoncillo,Каньямонцильо.
cañamonero,Каньямонеро
cañamón,Cañamón.
cañandonga,Канандонга
cañar,Каньяр.
cañavera,Каньявера.
cañaveral,нарисовать
cañaverar,Каньявера
cañaverear,Cañaverear
cañazo,Каньязо.
cañear,Каньярар.
cañedo,Cañedo.
cañengo,Cañengo.
cañengue,Cañangue.
cañera,Каньера.
cañero,Каньеро.
cañería,трубка
cañeta,Cañeta
cañete,Cañete.
cañifla,Cañifla.
cañilavado,Каньилавадо
cañilero,Cañilero.
cañillera,Aguillera.
cañinque,Cañinque.
cañirla,Cañirla.
cañista,Cañista
cañivete,Cañivete.
cañiza,Cañiza.
cañizal,Cañizal.
cañizar,кантлера
cañizo,Cañizo.
caño,носик
cañocal,кантлера
cañonazo,выстрел
cañonear,канал
cañoneo,канонада
cañonera,Канонера.
cañonero,стрелок
cañonería,салон самолета
cañota,Канада.
cañucela,Cañucela
cañudo,Гуэрто.
cañuela,Cañuela
cañutazo,Cañutazo.
cañutero,Cañuterutero.
cañutería,Caleutery
cañutillo,ума
cañuto,Cañuto.
cañé,Cañé.
cañón,Каньон
caótico,хаотичный
caúca,калин.
cbs.,CBS.
cc.,ОКРУГ КОЛУМБИЯ.
ce,Энтук
cea,CEA.
ceba,CEBA.
cebada,ячмень
cebadal,Ячмень поле
cebadar,Zaitar.
cebadazo,ячмень
cebadera,зрелище
cebadero,тусклый
cebadilla,Оседание
cebado,грунтовка
cebador,грунтовка
cebadura,грунтовка
cebamiento,заполнение
cebar,основной
cebarse,грунтовка
cebellina,Celellina.
cebera,Илете.
cebica,в помещении
cebiche,Cebiche.
cebido,Cebido.
cebo,приманка
cebocefalia,CeboCephaly
cebolla,лук
cebollada,Лук.
cebollar,лук.
cebollero,лук
cebolleta,зеленый лук
cebollino,схватить
cebolludo,лук
cebollón,Onholon.
ceborrincha,Cebhorrincha.
ceboso,ревностный
cebra,зебра
cebrado,Увенчанный
cebratana,Cebratana
cebruno,Cebruno.
cebu,зебу
ceburro,Cebuer.
cebídeos,Чайник
cebón,камин
cebú,зебу
ceca,мята
cecal,Cecal
ceceamiento,чистота
ceceante,Cerecally
cecear,лишать
ceceo,лишать
ceceoso,кишечный
cecesmil,Cecesmil.
cechero,30 лет.
cecial,CECIAL
cecidia,CECIDIA
cecidomido,Сесидомид
cecilia,Сесилия
cecina,сушеное мясо
cecinado,Закреплен
cecinar,херистика
cecocele,CCECELE
cecografía,Кокография
cecostomia,Цекостомия
ceda,CEDA.
cedacear,Cedacear.
cedacero,Cedacero.
cedacería,Cedacial.
cedacillo,Cedacillo.
cedazo,сито
ceder,дайте
cedilla,седиль
cedizo,Cedizo.
cedoaria,CEDO
cedras,Седры.
cedreleón,CedReleon.
cedria,Cedria.
cedrilla,Cedrilla
cedrino,кедровый
cedrito,Cedrito.
cedro,Cedar.
cedroleón,Cedroleon
cedróleo,Cedroleum.
cedrón,Cedron.
cedula,идентификационная карта
cedular,Cedular.
cedulón,Кедлон
cefalalgia,Цефалигия
cefalea,Cephalex.
cefalina,цефалин.
cefalitis,цефалит
cefalocaudal,цефалокадал
cefalopodo,Цефалопод
cefalorraquídeo,Cefalorraquídeo.
cefalosporina,цефалоспорин
cefalópodo,Цефалопод
cefear,Chefear.
cefeida,Cefeida.
cefeo,Celeo.
ceferino,Сефрино.
cefiro,Zephyr
cefrado,перепись
cefálico,цефа
cegado,слепой
cegador,ослепление
cegajear,Кугатура
cegajo,CEGAJO.
cegajoso,слепой
cegama,CEGAMA.
cegar,слепой
cegarra,Cegarra
cegarrita,Сегар
cegarse,слепой
cegatero,Cegatero.
cegato,CEGATO.
cegatoso,Cegatouso.
cegatón,CEGATON
cegesimal,Цегимами.
ceguedad,слепота
ceguera,слепота
ceiba,Ceiba.
ceibal,Ceibal
ceibo,Ceibo.
ceibón,Ceibón.
ceja,бровь
cejadero,Cejader.
cejador,сигарета
cejar,Cejar.
cejijunto,Cejijunta.
cejilla,Cejilla.
cejinegro,Cejinegro.
cejo,CEJO.
cejudo,Знаменитость
cejuela,CJNOLE.
cela,Слава.
celacanto,Celacanto.
celada,засада
celadamente,Относительно
celadon,Сладон
celador,наблюдатель
celaduría,Celadouría.
celaje,Celaje.
celajería,Celajanía.
celambre,Знаменитость
celar,знаменитость
celarse,рвение
celastracea,Целострацея.
celastro,Селастро
celastráceo,Celastráceo.
celastríneo,Celeleine.
celda,клетка
celdilla,Celsilla.
celeberrimo,Праздновать
celebraciones,Празднование
celebración,праздник
celebrante,Празднование
celebrar,праздновать
celebridad,знаменитость
celedón,Цередон
celeminear,Целеминеар
celeminero,Селминер
celemí,Celemí.
celemín,Знаменитость
celenterados,Клеевенно.
